JKS
DRNA
TIGR
XPEV
FUBO
PTON
GPRO
FSR
ACMR
CSSE
KRTX
LMND
AXON
FOUR
LI
BAND
CROX
QFIN
ZIM
XPEL
CRSR
NIU
WKHS
XONE
AVNW
VRNS
ACTG
SYNA
DAVA
CRSP
BLNK
AVLR
SNAP
DOMO
WK
RBLX
RDY
STAA
AVAV
SOLO
DDD
DT
APPN
SUMO
SITM
BE
BCYC
EVBG
VFF
UPWK
XP
KLIC
TW
LSPD
CYRX
EXPI
CVCO
ZS
MDB
NTNX
PTSI
GBTC
PEN
STN
TXG
KRUS
ESTC
CRWD
HEAR
VICR
DNLI
NNDM
DDOG
ARLO
RAVN
BEAM
CSTL
PANW
CSIQ
FUTU
SPT
BILL
RPAY
SKLZ
ACCD
CGC
AXNX
DIOD
VVPR
APTV
PHR
ENTG
CMPS
CRNC
RVNC
ISRG
NPO
NET
MGIC
IEA
GRVY
ECOM
STNE
SMPL
BRBR
TRIL
OGIG
PAGS
SSYS
MGK
IDNA
QCOM
NOVA
RSI
IWF
INTU
OEF
ZTS
HACK
FTNT
PGNY
TSLA
KTOS
SGRY
DBX
MLHR
AVTR
BOX
DMRC
XBI
GOOGL
MD
HCAT
SSTI
PSTG
NVCR
ST
AFYA
INFU
ACB
BILI
SRPT
LAC
PHG
QTRX
ALTO
KTCC
U
OPRX
SPOT
NTRA
CLPT
BGNE
ZLAB
SEER
SUMR
SEED
PSNL
IGMS
MP
STOK
SNOW
PATH
PUBM
IDYA
CHWY
WISH
