Symbols from TC2000
ACB
ACCD
ACMR
ACTG
AFYA
AIRG
ALGM
ALGN
ALGS
ALTO
AMPH
APPN
APTV
ARLO
ARVN
ATRS
AVAV
AVLR
AVNW
AVTR
AXNX
AXON
AXTI
BAND
BBIG
BCAB
BCYC
BE
BEAM
BGNE
BILI
BILL
BKE
BLNK
BMRN
BNGO
BOOM
BOX
BRBR
CELC
CGC
CHWY
CLPT
CMPS
CNXC
CODA
COLL
CPRX
CRNC
CROX
CRSP
CRSR
CRWD
CSIQ
CSSE
CSTL
CVCO
CYRX
DAVA
DBX
DDD
DDOG
DIOD
DLO
DMRC
DNLI
DOCU
DOMO
DRNA
DT
ECOM
ENTG
ESTC
EVBG
EXPI
FIGS
FOUR
FRHC
FSLR
FSR
FTNT
FUBO
FUTU
GBTC
GLSI
GOOGL
GPRO
GRVY
HACK
HALO
HCAT
HEAR
HROW
IDNA
IDYA
IEA
IGMS
INFU
INTU
ISRG
IWF
JAZZ
JKS
KLIC
KRNT
KRTX
KRUS
KTCC
KTOS
LAC
LE
LI
LMND
LSPD
LUNA
MANH
MAX
MD
MDB
MGIC
MGK
MLHR
MP
MRUS
MYTE
NET
NIU
NNDM
NOA
NOAH
NOVA
NPO
NTNX
NTRA
NVCR
OEF
OGIG
OPRA
OPRX
PACB
PAGS
PANW
PATH
PEN
PGNY
PHG
PHR
PMVP
PSNL
PSTG
PTON
PTSI
PUBM
PYPD
QCOM
QFIN
QTRX
RAVN
RBLX
RCUS
RDY
REPL
RGNX
RPAY
RSI
RVNC
SEED
SEER
SEMR
SGRY
SITM
SKLZ
SLAB
SMPL
SNAP
SNOW
SOLO
SPOT
SPT
SQZ
SRAX
SRPT
SSTI
SSYS
ST
STAA
STEP
STN
STNE
STOK
SUMO
SUMR
SWTX
SYNA
THRY
TIGR
TRIL
TRU
TRUE
TSLA
TVTY
TW
TWTR
TXG
U
UPWK
VEL
VFF
VICR
VMEO
VRM
VRNS
VVPR
WISH
WK
WKHS
XBI
XM
XONE
XP
XPEL
XPEV
ZIM
ZLAB
ZS
ZTS
