PTSI
OPRX
SGRY
RBLX
AFYA
SPT
BILL
QFIN
NPO
SEER
CLPT
BRBR
CSTL
DAVA
MLHR
AVAV
BCYC
CVCO
ZTS
XPEL
ACTG
DOMO
GBTC
STAA
TW
IDYA
PATH
BOX
ENTG
NTNX
MD
VRNS
AVLR
PHG
ACMR
ARLO
INFU
KTCC
SMPL
WISH
ISRG
XP
LI
KLIC
RVNC
RAVN
KTOS
AVTR
APTV
OEF
ST
NOVA
PEN
CRSR
STN
TXG
MGK
CNXC
IWF
FTNT
GPRO
SYNA
DIOD
STNE
RDY
DDOG
ACCD
MDB
GOOGL
VICR
DBX
PGNY
HACK
BAND
WK
VFF
SNOW
SSTI
CRNC
IEA
FUTU
QCOM
OGIG
INTU
NVCR
HCAT
SUMR
PSTG
AXNX
CHWY
JAZZ
QTRX
AVNW
AXON
CYRX
FOUR
CROX
ESTC
MGIC
PANW
NIU
ZS
ALTO
KRTX
DNLI
SNAP
DT
IDNA
RPAY
CRWD
LAC
ZLAB
NET
NTRA
XONE
PHR
XBI
EVBG
KRUS
CGC
RSI
GRVY
TSLA
CMPS
PAGS
PSNL
EXPI
BLNK
SUMO
ECOM
LSPD
ACB
SRPT
SPOT
TRIL
DMRC
BGNE
BILI
BEAM
BE
CRSP
U
CODA
SSYS
PUBM
MP
VVPR
UPWK
SOLO
SITM
PACB
STOK
DDD
SKLZ
CSIQ
CSSE
FUBO
PTON
HEAR
APPN
ZIM
XPEV
SEED
BNGO
WKHS
DRNA
LMND
FSR
NNDM
IGMS
JKS
TIGR
